"* Required Fields","* Required Fields"
"Add","Add"
"Address","Address"
"Already Phantom client ?","Already Phantom client ?"
"Back to Devialet.com", "Back to Devialet.com"
"Back to the homepage","Back to homepage"
"Back","Back"
"Choose accessories","Choose accessories"
"Choose the products","Choose products"
"City","City"
"Click <a href="%s" onclick="this.target=\'_blank\'">here to print</a> a copy of your order confirmation.","Click <a href="%s" onclick="this.target=\'_blank\'">here to print</a> a copy of your order confirmation."
"Contact Information","Contact Information"
"Country","Country"
"Date of Purchase","Date of Purchase"
"Delivery from ", "Delivery from "
"Don't have an invitation code? <br/> Phantom will send you an e-mail.","Don't have an invitation code? <br/> Phantom will send you an e-mail."
"Download","Download"
"Edit","Edit"
"Enter your code","Enter your code"
"Enter your email address","Enter your email address"
"Enter your password", "Enter your password"
"Find here all the applications that will allow you to enjoy a full experience of your Devialet devices.","Find here all the applications that will allow you to enjoy a full experience of your Devialet devices."
"First Name","First Name"
"First Phantoms will start shipping January 20th, 2015. EU only.","Next Phantoms will start shipping March 30th, 2015. EU only."
"Free delivery","Free delivery"
"General conditions of sale","General conditions of sale"
"Invitation code","Invitation code"
"Last Name","Last Name"
"Login","Login"
"No invitation code? ask yours","No invitation code? ask yours"
"No item has been selected","No item has been selected"
"No phantom account ?","No phantom account ?"
"No products were recorded.","No products were recorded."
"Order Review","Order Review"
"Order now","Order now"
"Order n°","Order n°"
"Order","Order"
"Pay","Pay"
"Phone number","Phone number"
"Place order now","Place order now"
"Place Order now","Place order now"
"Play your music and manage your Devialet from your smartphone and tablet.","Play your music and manage your Devialet from your smartphone and tablet."
"Preview","Preview"
"Product Information","Product Information"
"Product Name","Product Name"
"Purchase code","Purchase code"
"Purchased from","Purchased from"
"Purchased on ","Purchased on "
"Register Products","Register Products"
"Register a product","Register a product"
"Secure payment","Secure payment"
"See invoice","See invoice"
"Select your country","Select your country"
"Send","Send"
"Serial Number","Serial Number"
"Shipping in %s days et %s hours","Shipping in %s days et %s hours"
"Shipping in %s days","Shipping in %s days"
"Shipping starts ","Shipping starts "
"State/Province/Country","State/Province/Country"
"Submit","Submit"
"Thank you for you request. PHANTOM will send you an invitation code via email as soon as possible.","Thank you for you request. PHANTOM will send you an invitation code via email as soon as possible."
"This purchase code <strong>%s</strong> is not valid!","This purchase code <strong>%s</strong> is not valid!"
"Title","Title"
"To cope with demand, PHANTOM is currently available by invitation only. <br/> Leave us your email and we will send you a personal <br/> code to be among the first to own PHANTOM","To face high demand, PHANTOM is currently available by invitation only. <br/> Leave us your email and we will send you a personal <br/> code to be among the firsts to own PHANTOM"
"To purchase PHANTOM, <br/> enter your invitation code","To purchase PHANTOM, <br/> enter your invitation code"
"User Manual","User Manual"
"View registrations","View registrations"
"You do not have a code? <br/> It sends you an e-mail.","You do not have a code? <br/> It sends you an e-mail."
"You have an invitation code ?","You have an invitation code ?"
"Your Registered Info","Your Registered Info"
"Your account", "Your account"
"Your order","Your order"
"Your registered Info","Your registered Info"
"coming soon", "Coming soon!"
"login","login"
"Espace Client", "Customer Area"
"Mes Informations", "My informations"
"Mes informations", "My informations"
"Mes Commandes", "My orders"
"Mes commandes", "My orders"
"Déconnexion", "Logout"
"Contactez Devialet", "Contact Devialet"
"Thank you for your purchase!","Thank you for your purchase!"
