"Bank Location","Bank Location",,
"The amount could not be verified.","The amount could not be verified.",,
"Month","Month",,
"Capturing","Capturing",,
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Some payment methods are not be available for customers from certain counties. You can decide at what instant this availability check should happen. We recommend setting it to 'during authorisation'.",,
"The parameters ""3DSIGNVAL"" was false.","The parameters ""3DSIGNVAL"" was false.",,
"No additional payment information available.","No additional payment information available",,
"Message","Message",,
"Update","Update",,
"The MAC-Password in order to encrypt the request","The MAC-Password in order to encrypt the request",,
"IBAN number","IBAN number",,
"Successful online refund of amount","Successful online refund of amount",,
"Do only check the payment information (order)","Only check the payment information (order)",,
"Update Qty's","Update Quantities",,
"Enter the date on which your card expires.","Enter the date on which your card expires.",,
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, the item will be reserved until the payment is cancelled (see timeout option below). Activate this option if you do NOT wish to reserve the item in case of an aborted or failed payment. The order will then be cancelled immediately.",,
"Payment could not be authorized. Cancelling order. Reason :","Payment could not be authorised. Order is being cancelled for the reason:",,
"Currency","Currency",,
"3D Secure sucess","3D Secure successfull",,
"Amount","Amount",,
"Captured Status","Capture Status",,
"Customer sucessfully returned from the PayboxCw payment page.","Customer sucessfully returned from the PayboxCw payment page.",,
"Credit Card Brands","Credit Card Brands",,
"Diners Club","Diners Club",,
"Test with Paybox 3D (Paybox Direct Plus))","Test with Paybox 3D (Paybox Direct Plus)",,
"During authorization","During authorisation",,
"The invoice could not be found.","The invoice could not be found.",,
"You have to enter a card number.","You have to enter a card number.",,
"The configuration has been saved.","The configuration has been saved.",,
"Day","Day",,
"We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.",,
"Refund amount","Refund amount",,
"Technical issue: This payment methods is not available at the moment.","Technical issue: This payment method is not available at the moment.",,
"Show Further Settings and Information","Show Further Settings and Information",,
"The given card number has an invalid length.","The given card number has an invalid length.",,
"You have to enter bank code of your bank.","Enter your bank's bank code.",,
"SEPA Mandate ID","SEPA Mandate ID",,
"Delivery address","Delivery address",,
"Server","Server",,
"The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.",,
"Select Brand","Select Brand",,
"Excl. Tax","Excl. Tax",,
"The Hmac Key name of Paybox.","The Hmac Key name of Paybox.",,
"Please enter here the CVC code from your card. You find the code on the back of the card.","Please enter the CVC code from your card. You can find the code on the back of the card.",,
"Yes","Yes",,
"Paybox SSL Merchant Id","Paybox SSL Merchant ID",,
"Pending","Pending",,
"Shop Password","Shop Password",,
"You have to enter the BIC.","You have to enter the BIC.",,
"Product","Product",,
"Uncertain transactions","Uncertain transactions",,
"Shipping Amount","Shipping Amount",,
"Transaction Updates","Transaction Updates",,
"Please enter here the commercial number of your company.","Please enter here the commercial number of your company.",,
"Capture ID","Capture ID",,
"Year","Year",,
"Deferred capturing","Deferred capturing",,
"Account Holder Name","Account Holder Name",,
"Invoice Totals","Invoice Totals",,
"This status is set, when the payment was successfull and it is authorized.","This status is set, when the payment was successful and it is authorized.",,
"If it is not applicable leave the field empty.","If it is not applicable leave the field empty.",,
"The authorization was not successful","The authorization was not successful",,
"Error with the length of the validation date.","Error with the length of the validation date.",,
"You can decide on the order status new orders should have after they are processed successfully.","You can specify the order status for new orders that have been processed successfully.",,
"Credit memo's total must be positive.","Credit memo's total must be positive.",,
"Sales","Sales",,
"You have to enter your social security number.","You have to enter your social security number.",,
"Capture amount","Capture amount",,
"Site","Site",,
"The capturing could not be conducted with error code: $error.","The capturing could not be conducted with error code: $error.",,
"Could not find a brand for the given card number.","Could not find a brand for the given card number.",,
"Please enter here the account number of your bank account.","Please enter your bank account number.",,
"Payment with Paybox","Payment with Paybox",,
"Please enter here the Bank Identifier Code (BIC).","Please enter here the Bank Identifier Code (BIC).",,
"Date of Birth","Date of Birth",,
"A cancelled transaction cannot be authorized.","A cancelled transaction cannot be authorised.",,
"Please select the month of your birth.","Please select the month of your birth.",,
"A authorized transaction cannot be marked as failed.","An authorised transaction cannot be marked as failed.",,
"This transaction is already closed for further refunds.","This transaction has been closed for further refunds.",,
"Rang","Rang",,
"Successful payment authorization.","Successful payment authorization",,
"You can specify the order status when an order is cancelled.","You can specify the order status when an order is cancelled.",,
"Qty","Quantity",,
"The cancellation could not be conducted.","The cancellation could not be conducted.",,
"Please enter here the sales tax number of your company.","Please enter here the sales tax number of your company.",,
"Billing address","Billing address",,
"Please check the entered credit card number.","Please check the entered credit card number.",,
"Transaction captured successfully","Transaction captured successfully",,
"Allowed currencies for this payment method","Permitted currencies for this payment method",,
"Discount Amount","Discount Amount",,
"Payment captured successfully.","Payment captured successfully",,
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.",,
"Cancel ID","Cancel ID",,
"Manage Stores","Manage Stores",,
"Capture information","Capture information",,
"VISA","VISA",,
"Transaction history","Transaction history",,
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If Javascript is inactive in the browser, a drop down is shown. In case JavaScript is active the brand logos can be shown should the brand selection using images.",,
"Please select the expiry month on your card.","Please select the expiry month on your card.",,
"No authorization method found for payment method !method.","No authorization method found for payment method !method.",,
"Could not find the payment method !paymentMethodName.","Could not find the payment method !paymentMethodName.",,
"You have to enter the account holder name on the card.","You have to enter the account holder name on the card.",,
"Company Commercial Number","Company Commercial Number",,
"Description","Description",,
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store. The difference between 'order' and 'authorization' is that on 'order' only a check is done, but not really a reservation on the card.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store. The difference between 'order' and 'authorization' is that on 'order' only a check is done, but not really a reservation on the card.",,
"Please enter the name of your bank.","Please enter the name of your bank.",,
"Payment details can be entered after placing the order","Payment details can be entered after placing the order",,
"Discovercard","Discovercard",,
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your order. The status of the invoice will be set according to your specified capture status.",,
"A captured transaction cannot be authorized.","A captured transaction cannot be authorised.",,
"Bank account number","Bank account number",,
"A captured transaction cannot be marked as failed.","A captured transaction cannot be marked as failed.",,
