"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Qui è possibile inserire un prefisso ordine. Il prefisso consente di modificare il numero d'ordine che viene trasmesso a Authorize.net. Il prefisso deve contenere il tag {id}. Sarà poi sostituito dal numero d'ordine (ad es name_{id}).",,
"Discovercard","Discovercard",,
"Successful payment authorization.","Autorizzazione al pagamento di successo.",,
"Disabled","Disattivare",,
"You can specify the order status for orders that are captured either directly after the order or manually in the backend.","È possibile specificare lo stato dell'ordine per gli ordini che vengono catturati subito dopo l'ordine o manualmente nel backend.",,
"Deferred capturing","Contabilizzazione ritardata",,
"Test without 3D-secure (Paybox System and Paybox Direct)","Test without 3D-secure (Paybox System and Paybox Direct)",,
"Bad signature format.","Formato di firma falsa.",,
"Paybox SSL-Password","Paybox SSL-Password",,
"Update Qty's","Aggiornamento quantità",,
"Authorization is uncertain.","Autorizzazione è incerto",,
"Refund information","Informazione del rimborso",,
"Excl. Tax","Escl. Tasse",,
"Qty","Quantità",,
"Inactive","Inattivo",,
"No button returned.","Nessun tasto restituito.",,
"You have to enter your social security number.","È necessario inserire il numero di sicurezza sociale.",,
"Adjust Qty","Regolare la quantità",,
"The signature could not be verified.","La firma non può essere verificata.",,
"Default Config","Configurazione predefinita",,
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Se lo stato è 'In sospeso' non è chiaro se l'operazione sarà rimborsato con successo.",,
"The parameters ""3DSIGNVAL"" was false.","I parametri ""3DSIGNVAL"" era falsa.",,
"Please enter here the CVC code from your card. You find the code on the back of the card.","Inserisci qui il codice CVC. È possibile trovare questo sul retro della vostra carta di credito.",,
"Message","ID della contabilizzazione",,
"You can specify the order status when an order is cancelled.","È possibile specificare lo stato dell'ordine quando un ordine viene annullato.",,
"Payment with %s","Payment with %s",,
"Deferred settlement","Creazione ritardata",,
"Select Brand","Seleziona Marca",,
"Only authorized transaction can be captured.","Solo transazioni autorizzate possono essere contabilizzate.",,
"Transaction Updates","Aggiornamento per le transazioni",,
"Failed payment authorization.","Impossibile autorizzazione al pagamento.",,
"Transaction Authorized","Operazione autorizzata",,
"Cancel pending orders when out of stock","Ordini pendenti annullare se l'articolo non è più disponibile.",,
"Paybox Identifier","Paybox Identifier",,
"You have to enter the BIC.","È necessario inserire il BIC.",,
"Order cancelled, because the customer was too long in the payment process of Paybox.","L'ordine è stato annullato perché il cliente si trovava troppo a lungo nel processo di pagamento di Paybox.",,
"Don't change order status","Non modificare lo stato dell'ordine",,
"Uncertain transactions","Transazione è incerto",,
"Current Configuration Scope:","Attuale ambito di configurazione:",,
"Paybox Username","Paybox Nome utente",,
"Deferred (authorization)","Differito (autorizzazione)",,
"Please enter the name of your bank.","Si prega di inserire il nome della vostra banca.",,
"You have to enter sales tax number of you company.","È necessario inserire il numero di imposta sulle vendite di compagnia.",,
"Issue Number","Numero Issue",,
"Please select the the year of your birth.","Si prega di selezionare l'anno di nascita.",,
"Pending","In sospeso",,
"Refund ID","ID rimborso",,
"Timeout for pending payments (min)","Timeout per i pagamenti in sospeso",,
"A cancelled transaction cannot be cancelled again.","Una transazione cancellata non può essere cancellato nuovamente",,
"The configuration has been saved.","La configurazione è stata salvata.",,
"Payment details can be entered after placing the order","Dettagli di pagamento possono essere inseriti dopo l'ordine",,
